"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","Address","nhood","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt","AA_tgt","acm_dest_id","time"
"64",8,NA,"14",1,0,0,1,0,0,0,0,0,0,1,0,0,"10/31/1995",7896,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"14 - 8",0
"65",9,NA,"413",0,0,0,1,0,0,0,0,0,1,0,0,0,"04/25/1994",8450,NA,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"413 - 9",0
"66",9,"Compton Avenue ES","366",1,0,0,1,0,1,0,0,0,1,0,0,0,"05/09/1993",8801,9,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"366 - 9",0
"67",9,NA,"147",1,0,0,1,0,1,0,0,0,0,0,0,0,"02/28/1993",8871,NA,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"147 - 9",0
"68",9,NA,"414",0,0,0,1,0,0,0,1,0,0,0,0,0,"08/10/1995",7978,NA,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"414 - 9",0
"69",9,NA,"409",0,0,0,1,0,0,0,0,0,0,0,0,1,"07/12/1995",8007,NA,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"409 - 9",0
"70",9,NA,"62",1,1,0,0,0,0,0,0,0,0,0,1,0,"10/15/1999",6451,NA,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"62 - 9",0
"71",9,"Compton Avenue ES","328",0,0,0,1,0,0,0,0,0,1,0,0,0,"11/07/1994",8254,9,"Compton Avenue ES",7,"Elementary",0.72093023255814,"1515 E. 104th St., Los Angeles, CA 90002","W",0.298449612403101,0.406976744186047,0.406976744186047,1,0.298449612403101,2.11627906976744,1.60077519379845,1,"328 - 9",0
"72",10,NA,"403",0,0,0,1,0,0,0,0,0,0,0,0,1,"01/24/1994",8541,NA,"Gompers MS",7,"Middle",0.85,"234 E 112TH ST LOS ANGELES, CA 90061","W",0.298449612403101,0.406976744186047,0.406976744186047,2.15063677717841,0.298449612403101,3.17441860465116,1.60077519379845,1,"403 - 10",0
"73",10,NA,"100",1,0,0,1,0,1,0,0,0,0,0,0,1,"09/06/1995",7951,NA,"Gompers MS",7,"Middle",0.85,"234 E 112TH ST LOS ANGELES, CA 90061","W",0.298449612403101,0.406976744186047,0.406976744186047,2.15063677717841,0.298449612403101,3.17441860465116,1.60077519379845,1,"100 - 10",0
"74",10,NA,"9000",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"Gompers MS",7,"Middle",0.85,"234 E 112TH ST LOS ANGELES, CA 90061","W",0.298449612403101,0.406976744186047,0.406976744186047,2.15063677717841,0.298449612403101,3.17441860465116,1.60077519379845,1,"9000 - 10",0
